text,label
Government launches new education policy,1
Stock market reaches record high,1
New technology improves healthcare system,1
Scientists discover water on Mars,1
New vaccine shows positive results,1
Aliens landed in India yesterday,0
UFO spotted over Bangalore sky,0
Click here to win 1 crore instantly,0
Man becomes invisible after experiment,0
Fake cure for cancer found online,0
Breaking: celebrity gives away money to everyone,0
New app helps students learn better,1
India wins international cricket match,1
Secret method to earn money overnight,0
Doctors develop new life-saving treatment,1
Ghost seen walking in city at night,0
Government announces new job scheme,1
Earn money without working from home,0
New AI system helps farmers,1
Flying cars available for sale now,0